Project	Case_ID	Sample_Type	Raw_Count	Filtered_Count
TCGA-BRCA	332423a7-8866-4ee3-b08f-3c8d7c16af80	Blood Derived Normal	90	7
TCGA-BRCA	332423a7-8866-4ee3-b08f-3c8d7c16af80	Primary Tumor	145	22
TCGA-BRCA	33919e92-4ea9-47e5-a6f4-36e51845d50f	Blood Derived Normal	377	19
TCGA-BRCA	33919e92-4ea9-47e5-a6f4-36e51845d50f	Primary Tumor	693	55
TCGA-BRCA	34ab0cb8-bf19-4cbb-b4eb-3c45ee5aa60b	Primary Tumor	309	76
TCGA-BRCA	34d5a193-85e5-4399-8a9b-e92858eafdfe	Blood Derived Normal	87	10
TCGA-BRCA	34d5a193-85e5-4399-8a9b-e92858eafdfe	Primary Tumor	167	22
TCGA-BRCA	36449392-de76-4ee9-bc09-627a07e18727	Blood Derived Normal	559	38
TCGA-BRCA	36449392-de76-4ee9-bc09-627a07e18727	Primary Tumor	588	33
TCGA-BRCA	36fe6152-f61e-4948-9ccc-23ac01a9d77d	Blood Derived Normal	446	66
TCGA-BRCA	36fe6152-f61e-4948-9ccc-23ac01a9d77d	Primary Tumor	155	13
TCGA-BRCA	378778d2-b331-4867-a93b-c64028c8b4c7	Blood Derived Normal	194	15
TCGA-BRCA	378778d2-b331-4867-a93b-c64028c8b4c7	Primary Tumor	396	54
TCGA-BRCA	3828b534-908e-4953-a3fb-07d01cf49c7d	Blood Derived Normal	313	24
TCGA-BRCA	3828b534-908e-4953-a3fb-07d01cf49c7d	Primary Tumor	366	43
TCGA-BRCA	38a8b734-9acc-42f9-b5b7-e51b0dfc6504	Blood Derived Normal	484	41
TCGA-BRCA	38a8b734-9acc-42f9-b5b7-e51b0dfc6504	Primary Tumor	483	38
TCGA-BRCA	3927f736-3b5c-48c8-9d9e-83669ec44770	Blood Derived Normal	485	31
TCGA-BRCA	3927f736-3b5c-48c8-9d9e-83669ec44770	Primary Tumor	700	62
TCGA-BRCA	39cde586-df95-435f-b9a6-73b0c0ee5e92	Blood Derived Normal	192	21
TCGA-BRCA	39cde586-df95-435f-b9a6-73b0c0ee5e92	Primary Tumor	194	21
TCGA-BRCA	3a711140-1b89-4611-9992-3861e3d0e01a	Primary Tumor	423	67
TCGA-BRCA	3aaabc62-f5a4-4025-9b29-5adf82c86c84	Blood Derived Normal	29	7
TCGA-BRCA	3b01d064-8c00-4972-9f07-407eac8e7534	Blood Derived Normal	260	28
TCGA-BRCA	3b01d064-8c00-4972-9f07-407eac8e7534	Primary Tumor	339	43
TCGA-BRCA	3c08aabd-d5b5-4bbe-857c-38a7527b2163	Blood Derived Normal	410	13
TCGA-BRCA	3c08aabd-d5b5-4bbe-857c-38a7527b2163	Primary Tumor	1117	121
TCGA-BRCA	3c612e12-6de8-44fa-a095-805c45474821	Blood Derived Normal	75	22
TCGA-BRCA	3c8b5af9-c34d-43c2-b8c9-39ea11e44fa6	Primary Tumor	59	9
TCGA-BRCA	3dbe99d1-e3b8-4ee2-b6a8-2e2e12c6fbe9	Primary Tumor	744	116
TCGA-BRCA	3e9f93c0-aa79-4b4c-bd6c-b3325912362a	Blood Derived Normal	150	12
TCGA-BRCA	3e9f93c0-aa79-4b4c-bd6c-b3325912362a	Primary Tumor	469	62
TCGA-BRCA	3ea9412b-429e-4dcf-90cd-c53be06885a1	Blood Derived Normal	247	20
TCGA-BRCA	3ea9412b-429e-4dcf-90cd-c53be06885a1	Primary Tumor	352	36
TCGA-BRCA	3ecb0147-276d-486c-9af0-ce437c24ba83	Primary Tumor	377	72
TCGA-BRCA	3efa245d-177d-4ef9-94f7-f554c54e345e	Blood Derived Normal	269	15
TCGA-BRCA	3efa245d-177d-4ef9-94f7-f554c54e345e	Primary Tumor	435	52
TCGA-BRCA	3f834fa7-6d7b-4b85-98c0-5c55d55b6c95	Blood Derived Normal	325	72
TCGA-BRCA	44954053-0b93-4577-a436-42777e442300	Blood Derived Normal	221	27
TCGA-BRCA	44954053-0b93-4577-a436-42777e442300	Primary Tumor	221	21
TCGA-BRCA	44bec761-b603-49c0-8634-f6bfe0319bb1	Blood Derived Normal	357	33
TCGA-BRCA	44bec761-b603-49c0-8634-f6bfe0319bb1	Primary Tumor	285	36
TCGA-BRCA	452672e8-b6d9-45b5-bb02-e88e03e2dd66	Primary Tumor	722	139
TCGA-BRCA	478eb8aa-50b8-4ce5-98e4-d518ede4b174	Solid Tissue Normal	648	129
TCGA-BRCA	49717f75-0f2d-4e1c-9a12-f1cd7877b80a	Primary Tumor	174	40
TCGA-BRCA	49dc3e68-6206-4f16-969f-a758cc7be8ed	Primary Tumor	602	56
TCGA-BRCA	49dc3e68-6206-4f16-969f-a758cc7be8ed	Solid Tissue Normal	534	48
TCGA-BRCA	4b0d295c-e185-4b52-9752-178e5bc1d47d	Blood Derived Normal	178	22
TCGA-BRCA	4b0d295c-e185-4b52-9752-178e5bc1d47d	Primary Tumor	178	28
TCGA-BRCA	515b1400-e896-4f2a-81bd-70895441a0bd	Blood Derived Normal	550	52
TCGA-BRCA	515b1400-e896-4f2a-81bd-70895441a0bd	Primary Tumor	493	32
TCGA-BRCA	53ff5893-7d5e-4bcb-be9c-665fa34b7824	Blood Derived Normal	22	2
TCGA-BRCA	546248b0-22a0-4b70-a437-76fb0a238a0d	Blood Derived Normal	248	22
TCGA-BRCA	546248b0-22a0-4b70-a437-76fb0a238a0d	Primary Tumor	299	25
TCGA-BRCA	566792ae-f853-4a47-856d-f02cdcfcb18a	Blood Derived Normal	299	19
TCGA-BRCA	566792ae-f853-4a47-856d-f02cdcfcb18a	Primary Tumor	352	32
TCGA-BRCA	59bf0ce4-715a-4017-bccb-c59916e78324	Blood Derived Normal	122	15
TCGA-BRCA	59bf0ce4-715a-4017-bccb-c59916e78324	Primary Tumor	247	27
TCGA-BRCA	5a4b7098-1f6a-49e9-b364-29d6d34f5bd5	Blood Derived Normal	371	57
TCGA-BRCA	5a4b7098-1f6a-49e9-b364-29d6d34f5bd5	Primary Tumor	231	16
TCGA-BRCA	5a57dc25-d252-4b22-b192-4de630d7002f	Blood Derived Normal	433	47
TCGA-BRCA	5a57dc25-d252-4b22-b192-4de630d7002f	Primary Tumor	228	20
TCGA-BRCA	5d688049-f271-40ef-813a-d37240ffe21c	Blood Derived Normal	153	11
TCGA-BRCA	5d688049-f271-40ef-813a-d37240ffe21c	Primary Tumor	500	60
TCGA-BRCA	5e4187c9-98f8-4bdb-a8da-6a914e96f47a	Blood Derived Normal	684	51
TCGA-BRCA	5e4187c9-98f8-4bdb-a8da-6a914e96f47a	Primary Tumor	518	28
TCGA-BRCA	5f5964a8-8e07-4620-98f0-93d162dbc31e	Blood Derived Normal	129	14
TCGA-BRCA	5f5964a8-8e07-4620-98f0-93d162dbc31e	Primary Tumor	127	14
TCGA-BRCA	5f90d955-bbb0-4b44-a5ac-ba6fda9ca0fb	Blood Derived Normal	465	50
TCGA-BRCA	5f90d955-bbb0-4b44-a5ac-ba6fda9ca0fb	Primary Tumor	462	30
TCGA-BRCA	602083f0-18d9-48b6-a529-31e165c54b37	Blood Derived Normal	241	20
TCGA-BRCA	602083f0-18d9-48b6-a529-31e165c54b37	Primary Tumor	301	23
TCGA-BRCA	606fbc6a-b41b-441d-9401-51e54912bf5e	Blood Derived Normal	102	4
TCGA-BRCA	606fbc6a-b41b-441d-9401-51e54912bf5e	Primary Tumor	354	20
TCGA-BRCA	606fbc6a-b41b-441d-9401-51e54912bf5e	Solid Tissue Normal	504	78
TCGA-BRCA	626b4ff0-2188-4a14-aac8-6703c624917f	Blood Derived Normal	262	19
TCGA-BRCA	626b4ff0-2188-4a14-aac8-6703c624917f	Primary Tumor	666	78
TCGA-BRCA	6412854a-f874-469e-9d1f-8bd3ae5bd41d	Blood Derived Normal	172	19
