id	filename	md5	size	state
e10dd431-bb69-452c-895d-38cc853e3748	f0d1235d-8fc6-4849-8506-9d8dce2eabaa_wxs_gdc_realn.bam	0767613c607579d448b52dd535136cad	42713153213	released
7e79af8b-ad84-4c82-a540-ef5a603c3730	d8d09274-b620-4783-96d1-7b1ba32f89e6_wxs_gdc_realn.bam	e31f4ca096f90cda5a800c18033f9b8e	26337987128	released
4aae9444-58fd-430f-afcc-d08755eda3e2	bd560d56-fd13-4213-8e29-2a99fee0a055_wxs_gdc_realn.bam	9d6b7844c25ee7b259dffa2a40fab5b4	30459705261	released
2cc14957-a809-4832-a7ac-93b37b093ca0	c9d01f5d-66ef-45bc-b868-2b0151a8f9ee_wxs_gdc_realn.bam	50e5dd334a0876d891916444f70fa34e	17997847121	released
2b37078d-8a9f-4b6e-90bd-5b2716865632	bbbcb493-2937-4a7b-8454-0abbbb379927_wxs_gdc_realn.bam	baea469490a28ceab927aab32b926912	19263904331	released
f60b5353-dc1e-4e14-8103-e7afd64ad8d7	0a8ebc6c-83fd-4881-af82-5f2c10aa3d66_wxs_gdc_realn.bam	2d622874392a58ec8f5540a40b11c768	20639270785	released
babd953b-0183-46c1-a442-ea7daea5443e	4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9_wxs_gdc_realn.bam	ae80a0b93f8c413ac9a5ec165f17cf7f	27444646918	released
48846853-d579-456b-953c-879a83e0b8e2	a115510a-b18f-43ae-82a8-ec0b4f1a7482_wxs_gdc_realn.bam	29114a55f313caf76729916f1a2b6857	77617712653	released
82c3ce2f-44de-44bf-9600-f9652df320d9	282ea476-ac8e-4aa3-ac9e-49fced7a4eb2_wxs_gdc_realn.bam	b7a2feafae1a0057a5bca1a11939801f	29984926624	released
85803e27-15db-4076-9dba-938cb97416ad	2c449ea9-c3ff-4726-8566-5933e2b7056d_wxs_gdc_realn.bam	da35547c3fc94acf38359f194d393106	27440576211	released
c411fcee-2d9f-463c-88c0-2d28a2cff5f3	c3cd25a8-9372-4861-91a1-bace1cdc7b54_wxs_gdc_realn.bam	48b29d7b740792c7fdf6107407a3e331	36852401334	released
308f0e16-e716-41db-a823-8f313bed17a1	8495c66e-dc95-4eae-909b-b51b8bc84889_wxs_gdc_realn.bam	91fe5cc477237d5bac6195303af972c3	46227386110	released
1018f5af-17b6-48af-86eb-64db8f675027	a04ba6e9-2bc4-4cab-96d8-0820e0390d84_wxs_gdc_realn.bam	09a68cfb3d712b9ed09a15e117db2782	26599504791	released
6aa799f1-3b8a-488c-b643-4508ca00f44d	e5fd7cbd-8fce-49e9-8d2c-d2a2e61367a5_wxs_gdc_realn.bam	3d0958e866295bd9b7574b282bcf1af4	39025868733	released
b0593864-a7fa-4eea-b549-f4161097762b	dafdbf8a-faaa-47a5-a9d3-9cabf520323e_wxs_gdc_realn.bam	45a12006cf08205da605234e58a4de81	23214550045	released
e96572e2-ca53-41a7-b66e-003d34cacdc2	7b0b60c7-5fa0-440e-937f-8d82119330d6_wxs_gdc_realn.bam	738059d6fefa69608fbd315c7e0d87b7	26680380665	released
93fd61af-8f92-4fba-9465-f5df6574e2e9	40b803b7-34b8-4f72-bed1-ae78b4d76471_wxs_gdc_realn.bam	1191e42696aa336016fb02a4ca0f90f5	17462892002	released
456b4216-e498-4eee-83ef-f0081eddd95c	d1af14bf-be78-4557-9669-b0b9696151e4_wxs_gdc_realn.bam	08e16c77336421131a5ee3e16c0abe46	12559581718	released
f8ee7ad9-2338-4755-ac11-7d3281301a2b	81fd007e-f718-4cfb-909b-88944ac9712d_wxs_gdc_realn.bam	2fa781b5cb784a0dafb8855f3d03fb4c	16445373229	released
8278b39c-bce4-4706-a481-0c20277c9953	adfefa9c-2e3e-444d-8018-f364999f5f42_wxs_gdc_realn.bam	2ab851fb0204c30d7b8318485281a5a2	25049369475	released
89b4aba7-97b0-4d50-aa28-ddc7c26b89b5	85bbbb48-4570-41e6-9e53-b38b2d463cbf_wxs_gdc_realn.bam	940e70d2cd1f60ad398edf4f9712c859	19476952425	released
ae3ebe40-eef8-4109-8248-4938c07302fd	f819433a-44db-4022-abdb-d6123cfa30b2_wxs_gdc_realn.bam	b21c42c807d3e03acac55f0bdcd33814	21972170326	released
